['355219', 'szmeijing.com', '-2']
['355237', 'appgame.com', '-2']
['355257', 'molgvardia.ru', '-2']
['355361', 'bdnodes.net', '-2']
['355366', 'costind.gov.cn', '-2']
['355372', 'fs-security.com', '-2']
['355392', 'rentatv.com', '-2']
['355436', 'thwqds.com', '-2']
['355437', 'phoenixcal.com', '-2']
['355653', 'kidsknowit.com', '-2']
['355685', 'foreignlabor.com', '-2']
['355772', 'purmann.cz', '-2']
['355774', 'zgsc985.cn', '-2']
['355778', 'sjzymsf.com', '-2']
['355785', 'soyo.com.cn', '-2']
['355867', 'loadboom.me', '-2']
['355871', 'faryod.com', '-2']
['355921', 'b3log.org', '-2']
['356027', 'i0714.com', '-2']
['356117', 'muscle865.com', '-2']
['356200', 'peykekhodro.com', '-2']
['356246', 'swissquake.ch', '-2']
['356284', 'blogtalk411.com', '-2']
['356320', 'domodedovo-konditsioner.ru', '-2']
['356430', 'caimivip.com', '-2']
['356468', 'vvshu.com', '-2']
['356502', 'uqroo.mx', '-2']
['356520', 'worldofwar.net', '-2']
['356560', '1000eb.com', '-2']
['356783', 'ccteb5.com', '-2']
['356797', 'wzyshjx.com', '-2']
['356839', 'sogou.com.cn', '-2']
['356956', 'aimnet.com', '-2']
['357017', 'swfu.edu.cn', '-2']
['357030', 'cnnmoney.ch', '-2']
['357033', 'bahunchhetri.org', '-2']
['357067', 'casacelular.com.br', '-2']
['357073', 'hejianyitian.com', '-2']
['357162', 'oakley--sunglasses.co.uk', '-2']
['357183', 'jobsbizmalaysia.com', '-2']
['357244', 'gujujie.com', '-2']
['357326', 'sepa.gov.cn', '-2']
['357422', 'leandna.com', '-2']
['357496', 'madeinchina.com', '-2']
['357598', 'gpycnepal.org', '-2']
['357719', 'colnogal.com', '-2']
['357874', 'alatinasex.com', '-2']
['357957', 'shippingcargo.net', '-2']
['358111', 'm-station.com', '-2']
['358129', 'greatharvestbreadco.com', '-2']
['358189', 'fenew.com', '-2']
['358204', 'googoogaga.com.hk', '-2']
['358309', 'hrbinc.com', '-2']
['358396', 'thenorth--face.co.uk', '-2']
['358544', 'dondealfredo.com', '-2']
['358682', 'seefmall.com', '-2']
['358716', 'wilopen.net', '-2']
['358817', 'derby-ads.co.uk', '-2']
['358830', 'zensight.ai', '-2']
['358871', 'jinsanjiao.org', '-2']
['358933', 'guyougy.com', '-2']
['358960', 'kyu.ac.ug', '-2']
['359010', '537.com', '-2']
['359120', 'virtualcities.com', '-2']
['359125', 'younganal.com', '-2']
['359186', 'clknrtrg.pro', '-2']
['359208', 'deskwala.com', '-2']
['359235', 'pixelperfectdigital.com', '-2']
['359277', 'libertyad.net', '-2']
['359296', 'wonnemar.de', '-2']
['359303', 'kidshealth.info', '-2']
['359315', 'laiwujiahe.com', '-2']
['359356', 'floathelm.com', '-2']
['359367', 'officialcavaliershop.com', '-2']
['359373', 'irpassport.net', '-2']
['359464', 'icyfeet.info', '-2']
['359482', 'pittsburghpenguins.net', '-2']
['359501', 'fashionbug.net', '-2']
['359632', 'adbkng.com', '-2']
['359725', 'youxigt.com', '-2']
['359762', 'flashvortex.com', '-2']
['359938', 'capsigreen.com', '-2']
['359940', 'hurtback.com', '-2']
['359981', 'wptricks.com', '-2']
['360106', 'qyule.com', '-2']
['360154', 'pabili.com', '-2']
['360197', 'protegt.com.co', '-2']
['360260', 'ladyvols.net', '-2']
['360301', 'pcworld.com.cn', '-2']
['360351', 'sueno.gr', '-2']
['360394', 'yellchoice.com', '-2']
['360413', 'fkesfg.com', '-2']
['360425', 'azforum.online', '-2']
['360440', 'warming-need.xyz', '-2']
['360503', 'thirdmillenniumbuilding.com.au', '-2']
['360507', 'sdwr.gov.cn', '-2']
['360622', 'videozer.com', '-2']
['360639', 'centrodynamis.com.br', '-2']
['360659', 'openv.com', '-2']
['360668', 'odooexchanges.com', '-2']
['360732', 'cdbaidu.cn', '-2']
['360792', 'ummah.net', '-2']
['360797', 'dgliangshun.com', '-2']
['360802', '024htzx.com', '-2']
['360927', 'submerged.com', '-2']
['360985', 'av.com', '-2']
['361092', 'gangsiwangpian11.com', '-2']
['361098', 'e-rse.net', '-2']
['361223', 'broarena.com', '-2']
['361335', 'armgonline.com', '-2']
['361373', 'wordcards.com', '-2']
['361379', 'katespadeoutlets.cc', '-2']
['361387', 'polishmountains.info', '-2']
['361597', 'uader.edu.ar', '-2']
['361622', 'portugalcleanandsafe.pt', '-2']
['361644', 'curated.by', '-2']
['361659', 'extremelement.tv', '-2']
['361817', 'callmed.cl', '-2']
['361827', 'lingxiaomiao.com', '-2']
['361905', 'deyisikdurum.com', '-2']
['361913', 'zhongxinjt.cn', '-2']
['361947', 'datafile.com', '-2']
['361967', 'sohuno.com', '-2']
['361970', 'door-cn.com', '-2']
['361998', '100-dollar.com', '-2']
['362004', 'raybanoutletstore.us', '-2']
